Question,Answer,Category
What are 5 ways to calculate Gross Monthly Income based on a borrowerâ€™s pay frequency?,â— Annual Income divided by 12 â— Weekly income multiplied by 52 weeks divided by 12 â— Hourly rate multiplied by weekly hours worked x 52 weeks divided by 12 â— Bi-weekly rate multiplied by 26 weeks divided by 12 â— Bi-monthly rate multiplied by 24 weeks divided by 12,Friday
What is a Loan-to-Value Ratio (LTV)?,Measure comparing the amount of the mortgage with the appraisal value or purchase price (whichever is lower). LTV=loan amount divided by appraisal value or purchase price (whichever is lower).,Wednesday
What is a Combined Loan-to-Value Ratio (CLTV),"A measure comparing the combined (1st total amount owed on any mortgage 2nd mortgage, mortgage) with the appraisal value or purchase price (whichever is lower). 1st mortgage plus 2nd mortgage divided by the appraisal value or purchase price (whichever is lower).",Wednesday
What is a High Credit Loan-to-Value (HCLTV)?,"a measure comparing the total amount (1st on any mortgage mortgage, entire HELOC) with the appraisal value or lower).1st purchase price (whichever is mortgage plus the full amount of the HELOC plus any subordinate loan balance divided by the appraisal value or purchase price (whichever is lower).",Wednesday
Basis point,"An amount equal to 1/100th of a percentage point. For example, a fee calculated as 50 basis points on a $200,000 loan would be 0.50% or $1,000.",Friday
Discount Points,Lower the interest rate in exchange for paying an upfront fee. Each point costs 1% of the loan amount and lowers the rate by 0.25%.,Friday
Origination points,Must be lumped together and are labeled as origination fees on the LE. The origination fee is paid at closing and is usually based on a percent of the loan amount 1%=1 point=100 basis points (bps).,Friday
A lender credit,"When the borrower agrees to pay a higher interest rate above par and the lender gives them money to offset their closing costs. When a borrower receives a lender credit, they pay less upfront, but pay more over time with the higher interest rate.",Friday
Mortgage interest,"Paid in arrears, meaning each monthly payment covers the principal and interest for the preceding month.",Wednesday
How is the annual interest rate calculated?,Loan amount x interest rate,Friday
How is the monthly interest rate calculated?,Loan amount x interest rate divided by 12,Friday
How is the daily simple interest rate calculated?,Loan amount x interest rate divided by 365,Friday
Per diem,Is the amount of interest a borrower will pay for each day of the mortgage.,Thursday
If a loan closes on October 6th the first mortgage payment will be due when?,"December 1st, The first mortgage payment after closing always skips a calendar month.",Thursday
Prorated Mortgage Interest,"Paid by the borrower at closing, it is the daily interest multiplied by the number of days from settlement to the first day of the following month. Loan amount x interest rate divided by 365 days.",Thursday
Principal balance,"The amount that the borrower takes out in a loan. This is the P in PITI (principal, interest, taxes, insurance).",Friday
Interest rate,The amount charged on top of the principal by a lender to a borrower for taking out the loan. It can be locked-in or floated. This is the I in PITI.,Friday
Floating interest rate,"An interest rate the lender has given to the borrower, but not locked or committed to lend.",Friday
A rate lock agreement,A written agreement between the lender and the borrower. The borrower can rescind a lock agreement up until the written commitment is signed by the lender and sent to the borrower.,Friday
The following details must be included in the lock in agreement?,â— The interest rate locked in â— The lock's effective date â— The lock cost â— The lock's expiration date and time,Friday
The following details must be included in a gift letter?,"â— Donorâ€™s name and contact information â— Address of property being purchased â— Donor and buyerâ€™s relationship â— Gift amount â— Date of gift transfer â— A statement that repayment isnâ€™t expected by the donor â— Donorâ€™s bank, account number, and type of account â— Donorâ€™s signature",Friday
Late fees are due after what day of the month?,15th,Friday
Who investigates Mortgage fraud?,FinCEN,Thursday
What's the penalty for mortgage fraud?,"$1,000,000 and or 30 years in prison.",Thursday
Mortgage fraud and is divided into two broad categories. What are they?,Fraud for housing/Fraud for profit,Thursday
What is Fraud for property/housing?,Involves material misrepresentation or omission of information with the intent to deceive or mislead a lender into extending credit that would likely not be offered if the true facts were known.,Friday
Fraud for profit,Typical fraudulent activities associated with this category in the SAR filing sampling are: appraisal fraud; fraudulent flipping; straw buyers; and identity theft.,Tuesday
Material misrepresentation/misstatement,"Implies that the financial figures that have been disclosed in the financial statement are not a true representative. It is incorrectly stating, documenting, or omitting risk factors on a mortgage application.",Thursday
"A database that helps monitor and identify fraud, misrepresentation, and misconduct in the mortgage industry?",Mortgage Asset Research Institute (MARI),Thursday
Predatory lending,"Deceptive practices carried out by lenders to mislead, coerce, or assist borrowers to take out loans they are unable to afford or will be paid back at a cost that is extremely above the market rate.",Wednesday
Loan flipping,The process of convincing a homeowner to refinance a property with high fees and providing no net tangible benefit for the borrower.,Friday
Contract kiting,"Occurs when a seller agrees to create a second, falsified sales agreement with an inflated purchase price so the buyer can obtain a larger loan from a lender.",Friday
Illegal property flipping,"Occurs when property is purchased and resold quickly at an artificially inflated price, using a fraudulently inflated appraisal.",Wednesday
Builder bailout,Occurs when the builder or developer is determined to sell properties quickly in a down real estate market.,Friday
What are some examples of a builder bailout Scheme?,"â— Allowing the buyer to purchase with no money down â— The builder is willing to do anything to sell property â— Incentives to the buyer are added into the sales price, which then inflates the purchase price by using an inflated appraisal",Wednesday
Short sale fraud,"A type of mortgage fraud where either false information is used or valid information is withheld to convince a homeowner to do a short sale. Short sale fraud can come from homeowners, lenders, real estate agents and brokers, or other third parties involved in the sale.",Thursday
Flopping,Occurs when a short sale is approved based on a misrepresentation of the value of the property.,Friday
An air loan,"A loan that is made to a straw buyer or a non-existent buyer, and is made on a property which is also non-existent. These are considered no-collateral loans.",Thursday
A Deed Scam,"Occurs when someone steals the identity from the owner, then forged their signature, ultimately taking their title and then records the deed. Once that is done, they mortgage the property for cash and walk away.",Thursday
Inflated Appraisals,A very common part of most mortgage frauds. An appraiser agrees to inflate a property's appraised value in order to qualify it for a bigger mortgage.,Wednesday
A silent second mortgage,"A second mortgage is placed on a property which will be used for down payment, which is not disclosed to the original lender on the first mortgage, which is why it is silent.",Thursday
A straw buyer,"A person who applies for a mortgage and purchases a home on behalf of another person. The actual buyer may be someone with bad credit or low income, who is unable to qualify themselves .",Thursday
Straw Seller,A person who claims to have ownership in a property.,Thursday
Occupancy fraud,"Occurs when the borrower lies about the occupancy status of the property, stating it will be owner-occupied when in fact, they are not living in the property.",Friday
Bait and Switch,"Advertising a product which seems to be a bargain, with the intention of selling an inferior item in its place or showing more expensive items instead.",Monday
Equity Skimming,"Involves a person, investor, or foreclosure specialist which will gain title to another personâ€™s home to prevent a foreclosure. They will refinance the home, which takes out all the equity, and then sell it back to the borrower who will not be able to afford the new mortgage.",Thursday
Identity theft,"Can happen in many ways, but spamming and skimming are common. Spamming involves sending emails that are meant to trick them into providing their personal information to steal their identity. Skimming occurs when the credit card machines are used to copy a bank card that is used in the machine.",Friday
Elder Abuse,"Happens when someone takes money or belongings from an older person. In mortgages, it occurs when a child or caregiver to an elderly homeowner convinces the elderly homeowner to obtain the loan on the home for the child or caregiver against their will.",Thursday
What are some examples of elder abuse?,"â— Forging checks â— Using someone else's retirement or Social Security benefits without their permission â— Charging a person's credit cards without their permission â— Withdrawing money from their bank accounts without their permission â— Changing names on a will, bank account, life insurance policy, or title to a house without permission",Friday
Foreclosure,"A process that begins when a borrower fails to make their monthly mortgage payments. When the property is foreclosed upon, the lender typically repossesses the property and attempts to sell the home and satisfy any liens against the property.",Thursday
Judicial foreclosure,When the lender files a lawsuit to reclaim the property. This happens in lien theory states (mortgages),Thursday
Nonjudicial foreclosure,When the lender can foreclose without going through the court system. This happens in title theory states (Trust Deeds).,Thursday
The lender is required to try to make contact with the borrower to inform or remind them that they are late on their mortgage payment within how many days from a missed payment?,Within 36 days,Thursday
The lender is required to give the borrower an application to apply for mortgage workout options within how many days from a missed payment?,45 Days,Thursday
4 types of mortgage workout (Loss Mitigation) options?,â— Loan modification â— Short sale â— Deed in Lieu of Foreclosure â— Forbearance,Thursday
Loan modification,A change made to the terms of an existing loan by a lender. It may involve a reduction in the interest rate or an extension of the length of time for repayment.,Friday
Short sale,When the lender agrees to sell the home for less than what the borrower owes and the lender gets all the proceeds from the sale.,Friday
Deed in Lieu of Foreclosure,An arrangement between the borrower and the lender where the borrower will voluntarily turn over title/ownership of the property to the lender to avoid the foreclosure process.,Thursday
Forbearance,When the lender chooses not to take action against the borrower and will either pause the payments or forgive the payments for a certain period of time which allows the borrower to catch up and be current.,Friday
"After the borrower completes a loan application for workout options, the lender must notify them if they are approved within how many days?",30 Days,Friday
"If there is no way to save the home with the workout options, then on day 90 What is sent to the borrower?",Breach letter (Notice of Default).,Friday
What is dual tracking? And what regulation prohibits it?,RESPA Section 6 states that there will be no dual tracking during this time. Dual tracking is when the lender seeks foreclosure actions while the borrower is being considered for workout options.,Monday
The lender can file a notice with the courts that initiates the judicial foreclosure. What is this notice called?,lis pendens,Friday
"If the borrower is not seeking work out options, how many days from a missed payment can the lender file a lis pendens?",After 120 Days,Friday
What are the two types of redemption periods?,â— Equitable right of Redemption â— Statutory Right of Redemption,Friday
What is the Equitable right of Redemption?,"Happens up until the sale of the home. This means the borrower must pay their entire mortgage balance, plus any additional fees or interest payments charged by their lenders, and they can keep their home and their lender wonâ€™t sell the property at auction.",Thursday
What is the Statutory Right of Redemption?,"Gives the borrower the opportunity to purchase back the home at the price the home sold for including any additional fees, after the foreclosure sale of the home (not all states have a statutory right of redemption)",Friday
Deficiency judgment,Can occur when the sale of the property fails to cover the mortgage balance in full. It allows the lender to collect additional assets from the borrower to make up the difference.,Thursday
Exculpatory Clause,"Protects the borrower by limiting the liability to only the property itself. If the borrower has an exculpatory clause, the lender or bank can only seize the property, they can not take any personal assets from the borrower. An Exculpatory Clause protects the borrower from a deficiency judgment.",Thursday
What is the HER formula when finding the DTI ratio?,PITI/GMI See math equations worksheet,Friday
What is the TOR formula when finding the DTI ratio?,PITI+Debt/GMI See math equations worksheet,Friday
What are the formulas used in an ARM loan for the 1st adjustment?,S+A or M+I Choose the lower of the 2 See math equations worksheet,Thursday
What is the formula used when solving for the most/max/highest the rate can go on an ARM loan?,S+C See math equations worksheet,Thursday
What are the formulas used in an ARM loan that is adjusting NOT for the first time?,Y+B or M+I Choose the lower of 2 See math equations worksheet,Thursday
Discount points are calculated on what dollar value?,The Loan Amount See math equations worksheet,Friday
Seller Concessions are calculated on what dollar value?,Purchase price or appraised value - choose the lower of the 2 See math equations worksheet,Wednesday
When labeling an ARM question What does S represent?,Start rate/intro rate/teaser rate/initial rate - where the ARM Starts See math equations worksheet,Thursday
When labeling an ARM question what does M represent?,Margin See math equations worksheet,Thursday
When labeling an ARM question what does I represent?,Index (MOST CURRENT) See math equations worksheet,Thursday
When labeling an ARM question what does A represent?,Initial Cap See math equations worksheet,Thursday
When labeling an ARM question what does B represent?,Periodic Cap See math equations worksheet,Thursday
When labeling an ARM question what does C represent?,Lifetime Cap See math equations worksheet,Thursday
When labeling an ARM question what does Y represent?,Certain Year in time - Note rate/Nominal Rate/Current Rate/Previous Adjustment See math equations worksheet,Thursday
Public Assistance is grossed up how much?,25% or 1.25 See math equations worksheet,Friday
How many quarters are in a year?,4 - every 3 months See math equations worksheet,Friday
"If you are paid bi-weekly, how many times are you paid a year?",26 times See math equations worksheet,Friday
"If you are paid bi-monthly, how many times a year are you paid?",24 times See math equations worksheet,Friday
"When finding per diem interest, do you include the day you close on the home?","Yes - Example if you close on May 24th, you would have 8 days of per diem interest due at closing (31-24+1 = 8) See math equations worksheet",Friday
When calculating per diem interest when you find the annual interest how many days do you divide it by?,365 See math equations worksheet,Friday
"When asked to find the UFMIP, what is that percentage?",1.75% See math equations worksheet,Wednesday
"When asked to find the UFMIP, what dollar amount is that calculated on?",Loan Amount See math equations worksheet,Wednesday
When asked to find the MIP on a FHA loan what percentage is that?,.55% See math equations worksheet,Wednesday
When solving for MIP on a FHA loan what is the MIP calculated on?,Loan Amount See math equations worksheet,Wednesday
What is the equation if you are asked what is the maximum the buyer can afford?,"Find the front, find the back, choose the lower of the 2 Choose ratio for loan type (CUVF) GMI*(DTI ratio front) = $ GMI*(DTI ratio back) - debts = $ See math equations worksheet",Friday
